"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.910703167E0,-7.763400847E-1,2.098300819E0,1.295319943E0
1.920666167E0,-8.362015396E-1,2.147129163E0,1.368013258E0
1.930630167E0,-6.210351133E-1,2.317987728E0,1.387506998E0
1.940594167E0,1.580022919E-1,2.807357578E0,1.530005690E0
1.950558167E0,7.780220363E-1,3.197657468E0,1.503878138E0
1.960522167E0,1.067033241E0,3.502440661E0,6.400267236E-1
1.970486167E0,7.186556943E-1,3.536618221E0,6.420345113E-2
1.980450167E0,3.165564148E-1,3.277911673E0,-3.830369179E-1
1.990414167E0,1.149739476E-1,3.116274751E0,-5.932935834E-1
2.000378167E0,-1.095233193E-1,2.633270765E0,-5.220841447E-1
2.010341167E0,-3.830024193E-1,1.734653707E0,1.463058141E-1
2.020305167E0,-6.102962632E-1,1.248658285E0,1.819374306E-1
2.030269167E0,-6.224632958E-1,9.345721722E-1,8.350759506E-2
2.040233167E0,-6.198672782E-1,3.148871809E-1,1.985857692E-1
2.050197167E0,-6.042423485E-1,-2.106038439E-1,-1.047549149E-1
2.060161167E0,-3.546489783E-1,-5.590938038E-1,-2.393730220E-1
2.070125167E0,4.149695858E-2,-9.601075476E-1,4.722035944E-2
2.080089167E0,2.978520490E-1,-1.227894822E0,3.321725737E-1
2.090052167E0,7.549701194E-1,-1.399414707E0,6.689533380E-1
2.100016167E0,1.223828960E0,-1.541419017E0,1.234663266E0
2.109980167E0,1.353134872E0,-1.420623727E0,1.080309345E0
2.119944167E0,1.477673256E0,-1.340712755E0,8.929423356E-1
2.129908167E0,1.399971946E0,-1.403999509E0,5.684759536E-1
2.139872167E0,1.066058803E0,-1.835652663E0,5.022094586E-1
2.149836167E0,5.136632405E-1,-2.503949066E0,9.905583850E-1
2.159800167E0,1.046631137E-1,-2.777126888E0,1.198369891E0
2.169763167E0,1.261700499E-1,-2.785838655E0,1.157646081E0
2.179727167E0,2.828404192E-1,-2.772791762E0,1.186103894E0
2.189691167E0,7.238229518E-1,-2.651719315E0,1.194616856E0
2.199655167E0,1.231468348E0,-2.648841900E0,1.163328405E0
2.209619167E0,1.523053059E0,-2.879392351E0,9.003978279E-1
2.219583167E0,1.711095713E0,-3.011088604E0,3.484431821E-1
2.229547167E0,1.761322711E0,-3.083540869E0,6.254561931E-2
2.239511167E0,1.476038521E0,-2.946707252E0,-3.653699943E-1
2.249475167E0,1.150296861E0,-2.837499390E0,-1.671578622E-1
2.259438167E0,8.554125667E-1,-2.554111744E0,7.394979483E-1
2.269402167E0,9.166605426E-1,-2.210446907E0,1.228219635E0
2.279366167E0,8.429832865E-1,-2.263740184E0,1.784655879E0
2.289330167E0,3.830708317E-1,-2.389868134E0,2.025519941E0
2.299294167E0,-2.532268301E-2,-2.344929943E0,1.686134681E0
2.309258167E0,-5.030537966E-1,-2.069684545E0,1.798103598E0
2.319222167E0,-9.465654693E-1,-1.458767454E0,1.715070212E0
2.329186167E0,-8.702696107E-1,-5.707420421E-1,1.617110931E0
2.339149167E0,-6.542627203E-1,1.503278214E-1,1.848134714E0
2.349113167E0,-2.934929498E-1,8.109754819E-1,2.151838802E0
2.359077292E0,6.659540087E-3,1.055199646E0,2.582088917E0
2.369041292E0,2.679520925E-1,1.223046895E0,2.489874818E0
2.379005292E0,2.506199221E-1,1.384099095E0,2.481604516E0
2.388969292E0,2.529104957E-1,1.409581261E0,2.447664937E0
2.398933292E0,3.259831497E-1,1.313993318E0,2.024627071E0
2.408897292E0,1.272615058E-1,1.259085039E0,1.337416095E0
2.418860292E0,-3.037005803E-1,1.217872694E0,6.390211487E-1
2.428824292E0,-8.092748192E-1,1.411663454E0,3.279507378E-1
2.438788292E0,-7.276211569E-1,1.698447163E0,1.478661436E-1
2.448752292E0,-4.912716570E-1,1.839069775E0,8.260361552E-3
2.458716292E0,-6.022083215E-1,1.441963726E0,-1.863981253E-1
2.468680292E0,-7.595045621E-1,1.224288844E0,-6.383107120E-1
2.478644292E0,-7.275085980E-1,1.586717981E0,-1.013313117E0
2.488608292E0,-5.159336778E-1,1.791845323E0,-1.140766631E0
2.498571292E0,-5.275577232E-2,2.152874052E0,-1.328669245E0
2.508535292E0,6.883038942E-1,2.566294418E0,-1.618954266E0
2.518499292E0,1.137390814E0,2.860470176E0,-1.944146287E0
2.528463292E0,1.292636655E0,3.005563570E0,-1.883327351E0
2.538427292E0,1.225326432E0,3.308062255E0,-1.662445271E0
2.548391292E0,9.926470104E-1,4.114248283E0,-1.831318706E0
2.558355292E0,8.115666354E-1,4.666468685E0,-1.400765998E0
2.568319292E0,7.773740917E-1,4.769915285E0,-6.637759209E-1
2.578282292E0,6.640162414E-1,4.665899751E0,-4.881504133E-1
2.588246292E0,6.766778753E-1,4.030240751E0,-4.028187793E-1
2.598210292E0,3.900701682E-1,3.081571527E0,-8.050364649E-1
2.608174292E0,-9.481988159E-1,1.692217539E0,-1.365914839E0
2.618138292E0,-2.639086406E0,4.322489852E-1,-1.827996903E0
2.628102292E0,-3.186574948E0,-1.961805171E-1,-1.770764941E0
2.638066292E0,-2.875380869E0,-9.226052606E-1,-9.355694148E-1
2.648029292E0,-2.211754636E0,-9.280320615E-1,-8.858405998E-1
2.657993292E0,-1.554864397E0,-7.992418742E-1,-1.224815678E0
2.667957292E0,-1.167593729E0,-1.257433201E0,-1.321430392E0
2.677921292E0,-1.195299810E0,-1.641757237E0,-1.778527997E0
2.687885292E0,-1.323836229E0,-1.650088350E0,-2.137742627E0
2.697849292E0,-1.246116354E0,-1.471748273E0,-2.172199684E0
2.707813292E0,-1.079217816E0,-1.797286157E0,-3.422047877E-1
2.717777292E0,-1.281432074E0,-2.447429295E0,9.567418903E-1
2.727740292E0,-1.278721013E0,-2.287119107E0,-3.144960022E-1
2.737704292E0,-1.227947593E0,-1.957288197E0,-4.273624671E-1
2.747668292E0,-1.208720998E0,-1.658476181E0,-1.351016718E-1
2.757632292E0,-1.240263145E0,-1.578936507E0,-6.270489746E-1
2.767596292E0,-1.279065122E0,-2.060453546E0,-5.136352104E-1
2.777560292E0,-9.196543901E-1,-2.143874602E0,-1.735114467E-1
2.787524292E0,1.497660136E-1,-1.798947936E0,1.134655121E-1
2.797488292E0,1.404927169E0,-1.690566870E0,4.012546492E-1
2.807451292E0,2.072759011E0,-2.212557752E0,1.234061880E0
2.817415292E0,1.612751101E0,-2.664569741E0,2.421432866E0
2.827379292E0,5.396056918E-1,-2.262555538E0,2.151905753E0
2.837343292E0,1.265346603E-2,-1.427542738E0,2.386927570E0
2.847307292E0,-2.552593588E-1,-4.806610072E-1,2.672845598E0
2.857271292E0,1.623140287E-1,-7.430466235E-2,2.392442663E0
2.867235292E0,9.408145134E-1,-3.561574137E-1,2.479430521E0
2.877198292E0,1.228834469E0,-2.545292974E-2,2.219398409E0
2.887162292E0,1.233768058E0,2.512373149E-2,2.025780727E0
2.897126292E0,8.911593734E-1,2.153704941E-1,2.533550010E0
2.907090292E0,1.112389070E0,-6.401590168E-2,3.321402678E0
2.917054292E0,1.355246302E0,-9.489937449E-1,3.168578680E0
2.927018292E0,8.486480691E-1,-1.754704394E0,3.469284609E0
2.936982292E0,3.195049464E-1,-2.102219623E0,2.645706038E0
2.946946292E0,-4.049240693E-1,-1.355541294E0,1.206566518E0
2.956909292E0,-1.160199267E0,-3.175692987E-1,-3.394992810E-1
2.966873292E0,-1.587374039E0,6.714503914E-1,-1.787906638E0
2.976837292E0,-1.351469585E0,1.459259205E0,-2.563129905E0
2.986801292E0,-1.234966591E0,1.355109184E0,-1.375064562E0
2.996765292E0,-1.627738099E0,4.079672527E-1,4.752581799E-1
3.006729292E0,-2.302435157E0,2.463835412E-1,1.440555131E-1
3.016693292E0,-2.287073498E0,6.391433555E-1,-5.267937845E-1
3.026656292E0,-1.718490248E0,8.397209787E-1,-6.010236025E-1
3.036620292E0,-9.134209659E-1,1.001236278E0,-7.174615467E-1
3.046584292E0,-2.894466034E-1,1.334120604E0,-8.188148439E-1
3.056548292E0,-9.344091810E-2,1.663208917E0,-1.247825056E0
3.066512292E0,-2.034007321E-1,1.518281000E0,-6.761614931E-1
3.076476292E0,-3.586709855E-1,1.160636639E0,-2.781438625E-1
3.086440292E0,-9.169605779E-1,8.475047922E-1,-7.441219264E-1
3.096404292E0,-1.488437688E0,5.487454015E-1,-1.351534197E0
3.106367292E0,-1.421941690E0,1.222834641E0,-1.147417254E0
3.116331292E0,-1.160623994E0,9.415373755E-1,-1.600510978E0
3.126295292E0,-3.918745824E-1,7.537230545E-1,-1.013241196E0
3.136259292E0,3.077992227E-1,1.007796269E0,-8.742055178E-1
3.146223292E0,5.460470211E-1,1.332541856E0,-7.837870985E-1
3.156187292E0,5.955555057E-1,1.812422259E0,-4.355421370E-1
